titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,date_maj
Listing visières de protection,recensement des projets de visières,SANTE,PROTECTION,LISTE,VISIERE,ANON,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Des cartos pour les makers,liste carto pour les makers,INFOS,HELP,LISTE,CARTO,ASSO,https://pad.degrowth.net/covid19-carto-makers,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
COVID19: développeurs/datascientistes - comment aider ?,Des développeurs et datascientistes se mobilisent pour aider dans la lutte contre le COVID19 (Coronavirus.) Cette page vous aide à vous y retrouver.,DATA,HELP-DEV,LISTE,,INDIV,https://bzg.fr/covid19-developpeurs-datascientistes-comment-aider/,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Ressources COVID,-,INFOS,SCIENCE,LISTE,,ASSO,https://etherpad.wikimedia.org/p/covid19resources,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Makers for life,-,SANTE,-,LISTE,DIY,ANON,https://docs.google.com/document/d/16GDm0yiQM85stHgQlaYfPcS1Y6g9GwhGpb4Ofgsrmy8/edit,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Liste matériels DIY,-,SANTE,-,LISTE,DIY,-,https://lite.framacalc.org/9fl0-8k1n6ifpms,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Makers projects,-,SANTE,-,GROUPE,,-,"https://www.notion.so/af31d3adfff541a18dd6336e16fd223b?v=1d3b06185a42422f9515011cbad7af12
",,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Discord Makers,-,SANTE,-,GROUPE,,-,"https://pad.degrowth.net/0BDaA2_PQkeO56ScMHYLjA?view#
",,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
COVID data scraped,-,DATA,HELP-DEV,REPO,,INDIV,https://github.com/lazd/coronadatascraper,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Slack covid ?,-,SANTE,-,GROUPE,,-,"https://app.slack.com/client/TUU48M0T1/C0104ANKV4L/thread/C0104ANKV4L-1584868485.232300
",,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Civic tech Hub,-,SANTE,-,GROUPE,,-,https://docs.google.com/document/d/e/2PACX-1vS2p8BPJ5d0WcHxRAB0BWCv6fY2lgZPVanfZNqOX4z2e00cOEwPIWhlO5ZNlPb5Fe2Pva_c74leKrR2/pub,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
OMS infos,-,INFOS/DATA/SANTE,SCIENCE,MEDIA,,INSTIT,https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019/advice-for-public/q-a-coronaviruses,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Best pratices,-,INFOS/DATA/SANTE,SCIENCE,DATA,,-,https://safecast.org/2020/03/best-practices-in-reference-to-covid-19,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
World in data - covid19,-,INFOS/DATA/SANTE,SCIENCE,DATA,,-,https://ourworldindata.org/coronavirus,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Groupe d’entraide international (kit de détection du SARS-CoV-2) https://app.jogl.io/project/118,-,HELP,,GROUPE,,-,https://app.jogl.io/project/118,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Regroupement des chercheurs : http://crowdfightcovid19.org/,-,HELP,,GROUPE,,-,http://crowdfightcovid19.org/,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Groupe d’entraide Maker sur Facebook Contact @ouam41 sur le discord,-,HELP,,GROUPE,,-,https://www.facebook.com/groups/1120744844933688,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
"Groupe entraide maker international (attention, tout n’est pas à prendre)",-,HELP,,GROUPE,,-,https://www.facebook.com/groups/670932227050506/about#_=_,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
#COVID entraide Rhône-Alpes,-,HELP,,GROUPE,,-,https://pad.degrowth.net/0BDaA2_PQkeO56ScMHYLjA?view,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
#COVID entraide info France,-,HELP,,GROUPE,,-,https://www.facebook.com/groups/208192820288100/,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
#COVID entraide France,-,HELP,,GROUPE,,-,tg://join?invite=Kd5EWxK0U1v0qbOffsqp0w,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
#COVID-ENTRAIDE,-,HELP,,GROUPE,,-,tg://join?invite=Kd5EW0kFszT96K7Q32Ohag,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
@corona live (France),-,HELP,,GROUPE,,-,https://webtelegram.us/#/im?p=@coronalive,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Logal Groupe Resources (UK),-,HELP,,GROUPE,,-,https://covidmutualaid.org/resources,,,-,-,-,-,NA,NA,NA,,-,,oui,fr,JPy,N,,
Guide création gel hydro,-,SANTE,HYGIENE,DIY,GEL,ANON,https://pad.degrowth.net/pCCyDqYpTQqfoj2LabCevA#,,,-,-,-,-,NA,NA,NA,,,,oui,fr,JPy,N,,
Breezy - the crisis emergency ventilator,-,SANTE,HOPITAL,DIY,RESPIRATEUR,ANON,https://app.jogl.io/project/151,,,-,-,-,-,NA,NA,NA,,,,oui,fr,JPy,N,,
-,-,SANTE,HOPITAL,DIY,POUSSE-SERINGUE,ANON,,,,-,-,-,-,NA,NA,NA,,,,oui,fr,JPy,N,,
COVID-19 Medical Face Shield,-,SANTE,PROTECTION,DIY,VISIERE,ANON,https://making.engr.wisc.edu/shield/,,,-,-,-,-,NA,NA,NA,,,,oui,fr,JPy,N,,
Low-cost & Open-Source Covid19 Detection kits,-,SANTE,HOPITAL,DIY,TESTKIT,ANON,https://app.jogl.io/project/118,,,-,-,-,-,NA,NA,NA,,,,oui,fr,JPy,N,,
Formule de l'OMS,-,SANTE,HYGIENE,DIY,GEL,ANON,https://cdn.discordapp.com/attachments/689052206552580136/689112626361532591/guide_production_locale_produit_hydro_alcoolique.pdf,,,-,-,-,-,NA,NA,NA,,Gel Hydroalcoolique,,oui,fr,JPy,N,,
Autres formule,-,SANTE,HYGIENE,DIY,,ANON,https://www.femmeactuelle.fr/sante/sante-pratique/gel-hydroalcoolique-la-recette-pour-fabriquer-son-propre-desinfectant-pour-les-mains-2092084?fbclid=IwAR12LJF9yp88oF7hAzAPhsrZTzDE2Eq_oLIXNnQYGsTl-FDkN25DDq0V1B4,,,-,-,-,-,NA,NA,NA,,,,oui,fr,JPy,N,,
Boitier PCR low-cost,-,SANTE,HOPITAL,DIY,TEST,ANON,,,,-,-,-,-,NA,NA,NA,,Test / détection,,oui,fr,JPy,N,,
Patron masque tissu réalisé par le CHU Grenoble,-,SANTE,HOPITAL,DIY,MASQUE_TISSU,ANON,https://cdn.discordapp.com/attachments/689052155310506005/689112495134081063/faites_vos_masques_a_la_maison.pdf,,,-,-,-,-,NA,NA,NA,,Masque,,oui,fr,JPy,N,,
Masque de protection facial au projection faite avec une feuille A4 transparente,-,SANTE,PROTECTION,DIY,PROTECTION,ANON,https://www.thingiverse.com/thing:4147460,,,-,-,-,-,NA,NA,NA,,Protection,,oui,fr,JPy,N,,
kit pour faire un masque,-,SANTE,HOPITAL,DIY,MASQUE,ANON,https://www.thingiverse.com/thing:4218338,,,-,-,-,-,NA,NA,NA,,Masque,,oui,fr,JPy,N,,
boitier Hepa customisable,-,SANTE,HOPITAL,DIY,PROTECTION,ANON,https://www.thingiverse.com/thing:4196325,,,-,-,-,-,NA,NA,NA,,Protection,,oui,fr,JPy,N,,
Boitier PCR low-cost,-,SANTE,HOPITAL,DIY,TEST,ANON,,,,-,-,-,-,NA,NA,NA,,Test / détection,,oui,fr,JPy,N,,
